,年,月,日期,收盘价
177,2018,11,2018-11-30,26.54
178,2018,12,2018-12-28,28.34
179,2019,1,2019-01-31,27.33
180,2019,2,2019-02-28,31.7
181,2019,3,2019-03-29,32.8
182,2019,4,2019-04-30,34.51
183,2019,5,2019-05-31,31.36
184,2019,6,2019-06-28,32.7
185,2019,7,2019-07-31,33.39
186,2019,8,2019-08-30,28.66
187,2019,9,2019-09-30,28.16
188,2019,10,2019-10-31,29.9
189,2019,11,2019-11-29,29.2
190,2019,12,2019-12-31,28.7
191,2020,1,2020-01-08,28.8
