,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31
营业利润(万元),1008800.0,552600.0,159100.0,-387300.0,156500.0,66400.0,-556300.0,-344600.0,225300.0,78900.0,387800.0,1045000.0,966000.0
资产总计(万元),9002400.0,8920400.0,8806900.0,8859600.0,9129100.0,9286500.0,10123700.0,10298800.0,10511400.0,10098700.0,9217900.0,8678600.0,5838500.0
净利润(万元),795200.0,561200.0,161500.0,-460000.0,92400.0,75500.0,-438000.0,-233200.0,195000.0,68600.0,298900.0,752500.0,700300.0
负债合计(万元),3755900.0,3881800.0,4278100.0,4491500.0,4309500.0,4577500.0,5300800.0,5068300.0,4976900.0,4718900.0,3907600.0,3253100.0,2826200.0
净资产(万元),5246500.0,5038600.0,4528800.0,4368100.0,4819600.0,4709000.0,4822900.0,5230500.0,5534500.0,5379800.0,5310300.0,5425500.0,3012300.0
总资产报酬率,0.11205900648715898,0.06194789471324156,0.018065380553883886,-0.0437152918867669,0.017142982331226516,0.007150164216873957,-0.05495026521923803,-0.03346020895638327,0.021433871796335408,0.00781288680721281,0.04207031970405407,0.1204111262185145,0.16545345551083326
净资产报酬率,0.1515677118078719,0.11138014527845036,0.03566066066066066,-0.10530894439229871,0.01917171549506183,0.01603312805266511,-0.09081672852433183,-0.04458464773922187,0.035233535098021504,0.012751403397895832,0.05628683878500273,0.13869689429545665,0.23248016465823457
